Player Name,Kills,Great Attacks,Good Attacks,Poor Attacks,Attack Errors,Total Attacks,Hitting Average,Kill %,Hitting %,Perfect Blocks,Great Blocks,Good Blocks,Poor Blocks,Block Errors,Total Blocks,Block Average,Perfect Assists,Great Assists,Good Assists,Poor Assists,Assist Errors,Total Assists,Assist Average,Perfect Free Balls,Great Free Balls,Good Free Balls,Poor Free Balls,Free Ball Errors,Total Free Balls,Free Ball Average,Perfect Digs,Great Digs,Good Digs,Poor Digs,Dig Errors,Total Digs,Dig Average,Perfect Serve Receive Passes,Great Serve Receive Passes,Good Serve Receive Passes,Poor Serve Receive Passes,Serve Receive Pass Errors,Total Serve Receive Passes,Serve Receive Pass Average,In System %,Out of System %,Aces,Great Serves,Good Serves,Poor Serves,Serve Errors,Total Serves,Serve Average,Opponent Out of System %
Jeff Cao,3,3,1,1,1,9,2.7222222222222223,0.3333333333333333,0.2222222222222222,0,0,0,0,0,0,0.0,1,0,0,0,0,1,4.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Khoi Ngo,2,0,2,1,0,5,2.6,0.4,0.4,0,1,3,0,0,4,2.25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,0,0,0,3,3.6666666666666665,1.0,0.0,0,0,0,0,0,0,0.0,0.0
Tony Zhou,2,0,0,0,1,3,2.8333333333333335,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,2,0,2,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Nate Dang,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Samson Ly,1,0,1,1,0,3,2.3333333333333335,0.3333333333333333,0.3333333333333333,0,0,0,0,1,1,0.5,8,13,1,0,0,22,3.3181818181818183,0,0,0,0,0,0,0.0,0,0,1,1,0,2,1.5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Johnny Wong,0,1,3,0,1,5,1.9,0.0,-0.2,1,0,0,0,0,1,4.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jay Cool,0,0,2,0,0,2,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,4,1,0,5,1.8,0,1,0,1,0,2,2.0,0,2,2,0,0,4,2.5,0,1,1,1,0,3,2.0,0.6666666666666666,0.0,0,3,2,0,0,5,2.6,1.0
Brandon Lee,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,2,0,0,2,2.0,2,0,0,0,0,2,4.0,0,2,0,0,0,2,3.0,0,1,1,3,0,5,1.6,0.4,0.0,0,1,0,0,1,2,1.75,0.5
Gordon Cheung,0,1,1,0,0,2,2.5,0.0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,2,1,0,0,0,3,3.6666666666666665,1,1,0,0,0,2,3.5,0,1,0,0,0,1,3.0,1.0,0.0,0,6,0,2,2,10,2.1,0.6
Corry Phu,2,1,1,0,2,6,2.3333333333333335,0.3333333333333333,0.0,1,2,2,0,2,7,2.142857142857143,0,1,1,1,0,3,2.0,0,1,0,0,0,1,3.0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Mike Sun,0,1,0,0,0,1,3.0,0.0,0.0,1,1,2,1,1,6,2.0833333333333335,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jorald Joaquin,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0.0,0.0,0.0,1,2,0,0,0,3,3.3333333333333335,1.0
Wei Zhang,1,2,1,0,2,6,2.1666666666666665,0.16666666666666666,-0.16666666666666666,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
