Player Name,Kills,Great Attacks,Good Attacks,Poor Attacks,Attack Errors,Total Attacks,Hitting Average,Kill %,Hitting %,Perfect Blocks,Great Blocks,Good Blocks,Poor Blocks,Block Errors,Total Blocks,Block Average,Perfect Assists,Great Assists,Good Assists,Poor Assists,Assist Errors,Total Assists,Assist Average,Perfect Free Balls,Great Free Balls,Good Free Balls,Poor Free Balls,Free Ball Errors,Total Free Balls,Free Ball Average,Perfect Digs,Great Digs,Good Digs,Poor Digs,Dig Errors,Total Digs,Dig Average,Perfect Serve Receive Passes,Great Serve Receive Passes,Good Serve Receive Passes,Poor Serve Receive Passes,Serve Receive Pass Errors,Total Serve Receive Passes,Serve Receive Pass Average,In System %,Out of System %,Aces,Great Serves,Good Serves,Poor Serves,Serve Errors,Total Serves,Serve Average,Opponent Out of System %
Jeff Cao,1,3,2,0,3,9,2.0555555555555554,0.1111111111111111,-0.2222222222222222,0,0,0,0,0,0,0.0,1,1,1,0,0,3,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,1,0,2,1.5,0.5,0.0,0,0,0,0,0,0,0.0,0.0
Khoi Ngo,1,0,2,1,0,4,2.25,0.25,0.25,1,2,1,0,1,5,2.5,0,0,0,0,0,0,0.0,1,0,0,0,1,2,2.25,0,1,0,0,0,1,3.0,1,4,0,2,1,8,2.3125,0.625,0.125,0,0,0,0,0,0,0.0,0.0
Tony Zhou,2,0,0,0,0,2,4.0,1.0,1.0,0,0,3,0,0,3,2.0,0,1,0,0,0,1,3.0,0,1,0,0,0,1,3.0,0,1,0,0,0,1,3.0,1,0,0,0,0,1,4.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0
Nate Dang,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Samson Ly,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,2,1.75,9,13,1,0,0,23,3.347826086956522,0,1,0,0,0,1,3.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Johnny Wong,3,2,1,0,0,6,3.3333333333333335,0.5,0.5,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jay Cool,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,1,0,0,0,0,1,4.0,0,3,1,0,0,4,2.75,3,0,0,1,0,4,3.25,0.75,0.0,0,2,0,2,1,5,1.7,0.4
Brandon Lee,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0.0,0,1,0,0,1,2,1.75,1,0,0,0,0,1,4.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0
Gordon Cheung,0,0,0,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,2,2,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,2,0,6,2.3333333333333335,0.6666666666666666
Corry Phu,3,2,2,0,1,8,2.8125,0.375,0.25,0,0,0,0,2,2,0.5,0,0,2,0,0,2,2.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Mike Sun,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jorald Joaquin,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,4.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,5,1,1,1,10,2.65,0.8
Wei Zhang,0,0,1,0,0,1,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
