Player Name,Kills,Great Attacks,Good Attacks,Poor Attacks,Attack Errors,Total Attacks,Hitting Average,Kill %,Hitting %,Perfect Blocks,Great Blocks,Good Blocks,Poor Blocks,Block Errors,Total Blocks,Block Average,Perfect Assists,Great Assists,Good Assists,Poor Assists,Assist Errors,Total Assists,Assist Average,Perfect Free Balls,Great Free Balls,Good Free Balls,Poor Free Balls,Free Ball Errors,Total Free Balls,Free Ball Average,Perfect Digs,Great Digs,Good Digs,Poor Digs,Dig Errors,Total Digs,Dig Average,Perfect Serve Receive Passes,Great Serve Receive Passes,Good Serve Receive Passes,Poor Serve Receive Passes,Serve Receive Pass Errors,Total Serve Receive Passes,Serve Receive Pass Average,In System %,Out of System %,Aces,Great Serves,Good Serves,Poor Serves,Serve Errors,Total Serves,Serve Average,Opponent Out of System %
Jeff Cao,52,37,29,4,41,163,2.46319018404908,0.31901840490797545,0.06748466257668712,3,3,5,1,4,16,2.125,3,3,2,0,0,8,3.125,2,3,1,1,0,7,2.857142857142857,0,8,3,2,2,15,2.2,3,4,3,8,2,20,1.95,0.5,0.1,1,0,0,0,0,1,4.0,1.0
Khoi Ngo,29,6,17,7,4,63,2.8095238095238093,0.4603174603174603,0.3968253968253968,14,9,10,1,12,46,2.391304347826087,2,2,2,2,1,9,2.2777777777777777,3,6,0,1,1,11,2.8636363636363638,1,8,4,2,3,18,2.1944444444444446,11,21,9,16,2,59,2.406779661016949,0.6949152542372882,0.03389830508474576,0,0,0,0,0,0,0.0,0.0
Tony Zhou,20,3,9,2,9,43,2.63953488372093,0.46511627906976744,0.2558139534883721,3,10,8,3,6,30,2.1333333333333333,1,2,7,2,0,12,2.1666666666666665,4,7,2,0,0,13,3.1538461538461537,0,8,3,2,6,19,1.8421052631578947,11,10,6,6,3,36,2.5972222222222223,0.75,0.08333333333333333,0,0,0,0,0,0,0.0,0.0
Nate Dang,8,10,6,4,8,36,2.2777777777777777,0.2222222222222222,0.0,1,6,2,0,4,13,2.1538461538461537,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,1,2,1.75,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Samson Ly,3,8,13,3,2,29,2.2758620689655173,0.10344827586206896,0.034482758620689655,7,13,7,0,15,42,2.107142857142857,150,164,35,23,5,377,3.149867374005305,2,1,0,0,0,3,3.6666666666666665,1,4,3,4,0,12,2.1666666666666665,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Johnny Wong,23,24,16,2,15,80,2.56875,0.2875,0.1,4,1,5,0,8,18,1.8333333333333333,1,1,2,2,1,7,1.9285714285714286,1,2,0,0,0,3,3.3333333333333335,0,1,1,0,0,2,2.5,3,7,6,8,1,25,2.14,0.64,0.04,0,0,0,0,0,0,0.0,0.0
Jay Cool,1,0,5,6,2,14,1.5,0.07142857142857142,-0.07142857142857142,0,0,0,0,0,0,0.0,6,8,15,4,3,36,2.3194444444444446,8,8,5,5,0,26,2.730769230769231,4,29,13,4,10,60,2.3,21,16,18,20,4,79,2.4050632911392404,0.6962025316455697,0.05063291139240506,3,63,18,16,4,104,2.451923076923077,0.8076923076923077
Brandon Lee,1,0,0,0,0,1,4.0,1.0,1.0,0,0,0,0,0,0,0.0,3,6,8,0,1,18,2.5833333333333335,6,2,0,0,0,8,3.75,1,18,5,2,15,41,1.8902439024390243,4,9,5,9,2,29,2.1724137931034484,0.6206896551724138,0.06896551724137931,2,48,16,15,7,88,2.3011363636363638,0.75
Gordon Cheung,0,3,4,4,1,12,1.7916666666666667,0.0,-0.08333333333333333,0,0,0,0,0,0,0.0,6,3,7,1,0,17,2.823529411764706,12,7,1,2,0,22,3.3181818181818183,6,30,7,5,12,60,2.316666666666667,2,10,2,18,3,35,1.7571428571428571,0.4,0.08571428571428572,9,64,23,19,6,121,2.446280991735537,0.7933884297520661
Corry Phu,41,13,22,2,6,84,3.0,0.4880952380952381,0.4166666666666667,3,12,11,1,8,35,2.142857142857143,3,3,7,2,0,15,2.466666666666667,0,2,1,0,0,3,2.6666666666666665,0,1,4,1,3,9,1.5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Mike Sun,10,3,2,3,2,20,2.85,0.5,0.4,3,7,6,2,8,26,1.9615384615384615,1,1,0,0,0,2,3.5,1,2,1,3,0,7,2.142857142857143,1,0,2,0,2,5,1.8,2,2,0,11,1,16,1.59375,0.25,0.0625,0,0,0,0,0,0,0.0,0.0
Jorald Joaquin,2,3,6,2,1,14,2.25,0.14285714285714285,0.07142857142857142,0,0,0,1,0,1,1.0,11,11,3,4,1,30,2.9166666666666665,3,1,0,0,0,4,3.75,1,5,2,3,3,14,1.9642857142857142,4,3,2,7,3,19,1.9736842105263157,0.47368421052631576,0.15789473684210525,7,25,6,9,8,55,2.327272727272727,0.6909090909090909
Wei Zhang,20,17,13,3,6,59,2.76271186440678,0.3389830508474576,0.23728813559322035,2,2,5,0,4,13,2.0,1,1,0,1,0,3,2.6666666666666665,0,1,0,1,0,2,2.0,0,3,2,0,1,6,2.25,3,4,2,6,3,18,1.9722222222222223,0.5,0.16666666666666666,2,10,4,0,3,19,2.5,0.8421052631578947
